Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,TotalLength,TotalWidth,FlowerSize,SpeciesCode
1,5.1,3.5,1.4,0.2,Iris-setosa,6.5,3.7,10.2,0
2,4.9,3.0,1.4,0.2,Iris-setosa,6.300000000000001,3.2,9.5,0
3,4.7,3.2,1.3,0.2,Iris-setosa,6.0,3.4000000000000004,9.4,0
4,4.6,3.1,1.5,0.2,Iris-setosa,6.1,3.3000000000000003,9.4,0
5,5.0,3.6,1.4,0.2,Iris-setosa,6.4,3.8000000000000003,10.200000000000001,0
6,5.4,3.9,1.7,0.4,Iris-setosa,7.1000000000000005,4.3,11.4,0
7,4.6,3.4,1.4,0.3,Iris-setosa,6.0,3.6999999999999997,9.7,0
8,5.0,3.4,1.5,0.2,Iris-setosa,6.5,3.6,10.1,0
9,4.4,2.9,1.4,0.2,Iris-setosa,5.800000000000001,3.1,8.9,0
10,4.9,3.1,1.5,0.1,Iris-setosa,6.4,3.2,9.600000000000001,0
11,5.4,3.7,1.5,0.2,Iris-setosa,6.9,3.9000000000000004,10.8,0
12,4.8,3.4,1.6,0.2,Iris-setosa,6.4,3.6,10.0,0
13,4.8,3.0,1.4,0.1,Iris-setosa,6.199999999999999,3.1,9.299999999999999,0
14,4.3,3.0,1.1,0.1,Iris-setosa,5.4,3.1,8.5,0
15,5.8,4.0,1.2,0.2,Iris-setosa,7.0,4.2,11.2,0
16,5.7,4.4,1.5,0.4,Iris-setosa,7.2,4.800000000000001,12.0,0
17,5.4,3.9,1.3,0.4,Iris-setosa,6.7,4.3,11.0,0
18,5.1,3.5,1.4,0.3,Iris-setosa,6.5,3.8,10.3,0
19,5.7,3.8,1.7,0.3,Iris-setosa,7.4,4.1,11.5,0
20,5.1,3.8,1.5,0.3,Iris-setosa,6.6,4.1,10.7,0
21,5.4,3.4,1.7,0.2,Iris-setosa,7.1000000000000005,3.6,10.700000000000001,0
22,5.1,3.7,1.5,0.4,Iris-setosa,6.6,4.1000000000000005,10.7,0
23,4.6,3.6,1.0,0.2,Iris-setosa,5.6,3.8000000000000003,9.4,0
24,5.1,3.3,1.7,0.5,Iris-setosa,6.8,3.8,10.6,0
25,4.8,3.4,1.9,0.2,Iris-setosa,6.699999999999999,3.6,10.299999999999999,0
26,5.0,3.0,1.6,0.2,Iris-setosa,6.6,3.2,9.8,0
27,5.0,3.4,1.6,0.4,Iris-setosa,6.6,3.8,10.399999999999999,0
